Gender,Department,City,Age,Salary,Experience_Years
Female,,,57,,34
None,None,,,57691,0
Male,Finance,New York,18,52592,0
None,,Los Angeles,33,36201,10
Female,Finance,Los Angeles,55,,28
Male,Marketing,,40,66585,17
Female,HR,Los Angeles,25,80315,0
None,None,Houston,64,59134,40
Female,,None,29,55164,1
Other,HR,Chicago,,32692,9
Male,Marketing,New York,33,52954,6
Male,Sales,Los Angeles,,24716,38
None,,New York,60,69706,37
Female,Sales,Phoenix,41,58400,14
Male,None,None,56,49135,31
Female,,Houston,25,32629,
None,Engineering,Houston,28,52724,8
Other,Marketing,New York,58,27465,
Female,,None,43,45283,17
Male,Engineering,Phoenix,24,56225,0
Female,Finance,New York,32,,
Male,Sales,,32,49398,
Male,HR,None,20,84954,
Female,,Los Angeles,33,23175,13
Other,Sales,Houston,32,38417,8
Male,None,Los Angeles,42,46121,18
None,,Los Angeles,50,42040,30
Male,Sales,Phoenix,31,56794,6
Other,Marketing,Chicago,41,58104,18
Other,Marketing,Houston,,50675,
Female,Sales,Los Angeles,20,52043,0
Other,Engineering,Houston,26,23043,8
Female,Engineering,Chicago,23,,0
Female,,New York,48,52899,24
Other,Finance,Los Angeles,33,39603,12
Female,Engineering,,28,74281,7
Other,HR,Houston,34,48890,14
Female,Marketing,Chicago,20,53380,0
Other,None,New York,36,49386,7
Other,Marketing,Chicago,41,25240,13
Female,Sales,,64,34813,46
Male,,Los Angeles,59,45850,36
Female,HR,,25,64731,
Other,Finance,Phoenix,53,43132,32
Male,Sales,,57,53089,34
Female,HR,Phoenix,19,56821,0
None,None,Phoenix,40,38007,12
Female,,New York,57,35961,34
Male,Finance,Houston,47,39805,18
,Finance,Los Angeles,42,38857,15
Female,Engineering,Houston,24,33688,0
Female,Marketing,New York,45,62933,
Female,Sales,Houston,58,58781,29
,Finance,Houston,34,,11
Female,Engineering,Phoenix,49,52512,23
Other,HR,Houston,18,45168,0
Other,Engineering,Phoenix,44,48204,19
Female,Marketing,Phoenix,61,50502,33
Male,Sales,,53,27810,30
Other,Marketing,New York,24,20120,3
Male,HR,,20,50300,2
Other,HR,,47,44175,25
Female,,,18,46660,0
Other,HR,Phoenix,51,40257,27
Female,None,None,55,49818,37
,,Los Angeles,60,24844,32
Female,HR,Los Angeles,53,50390,30
Female,Engineering,Los Angeles,50,,26
Female,None,Los Angeles,60,38919,42
Female,Marketing,Chicago,33,42712,13
None,,,55,22347,28
Female,None,Chicago,28,68948,2
None,Marketing,Houston,25,48525,0
Male,Sales,New York,18,38622,
Female,Sales,Chicago,31,78218,8
,Sales,Los Angeles,47,53301,22
Other,Engineering,None,38,55230,9
Female,Marketing,Houston,38,46376,19
Male,Sales,Phoenix,51,,22
Female,Finance,New York,55,52826,31
Female,Engineering,Chicago,43,7160,24
Female,Finance,Phoenix,58,21620,38
Male,Marketing,Phoenix,31,27134,12
Other,HR,Chicago,57,13800,29
,Finance,Chicago,52,56683,30
Male,None,,59,38137,
Female,None,None,35,67049,
Male,Finance,Los Angeles,37,45624,14
Male,,Phoenix,26,35608,3
Male,,None,,46502,34
Female,Engineering,Los Angeles,62,64178,
Male,Sales,Phoenix,50,43756,29
Female,Marketing,None,21,66214,0
Male,Finance,New York,21,63954,1
Other,Finance,Phoenix,33,38900,
Male,Engineering,New York,64,40154,44
None,Engineering,New York,,39324,24
None,Marketing,Los Angeles,23,29419,0
Female,Engineering,None,54,25165,26
Female,HR,Phoenix,39,39999,17
Male,HR,None,59,,33
Other,HR,Los Angeles,56,30392,33
Female,HR,New York,24,54540,3
Male,Marketing,Phoenix,59,26393,35
None,Finance,None,47,66456,20
Female,HR,Chicago,27,56087,5
Female,Engineering,Los Angeles,32,,3
Other,HR,Chicago,,78072,0
Other,,Houston,41,58213,22
Other,Engineering,Chicago,19,38211,0
Other,HR,Chicago,,22183,31
Male,Finance,New York,32,24938,11
Other,Engineering,None,,76484,20
Female,Engineering,Houston,,24627,
None,None,Los Angeles,22,43783,4
Male,Engineering,Chicago,42,65071,14
Female,HR,Chicago,53,33893,34
Female,,,27,66802,1
Other,None,Houston,63,46065,35
Female,Finance,Houston,,,20
Male,,,41,42712,13
Other,Finance,Chicago,62,33245,44
Other,HR,Chicago,,57444,7
Male,None,New York,23,55590,0
Other,Finance,Los Angeles,30,58109,1
Other,Marketing,Chicago,38,62247,19
Male,Marketing,Los Angeles,49,,
Other,HR,Houston,60,55582,42
Male,HR,Phoenix,32,60622,
Male,,New York,19,53288,1
None,None,Chicago,32,40972,3
Female,,New York,34,52513,
Other,HR,Houston,37,17220,
Other,Finance,,,52828,0
Male,Marketing,Houston,,30485,12
Other,Engineering,Houston,34,47459,16
Male,Sales,Phoenix,43,,25
Male,Finance,Los Angeles,39,47907,11
Other,Engineering,None,26,,0
Male,Sales,Phoenix,29,57759,7
Female,Finance,Los Angeles,39,60841,19
Other,Engineering,Houston,40,32513,
Female,None,Los Angeles,54,26747,33
Other,Finance,New York,31,33523,8
Male,Engineering,Los Angeles,41,58311,22
Other,Sales,New York,25,46184,1
Female,Engineering,Chicago,,44110,21
Male,None,New York,49,44927,24
Other,Finance,New York,45,37115,24
Other,Finance,Houston,49,52167,20
Other,None,Houston,39,69909,
Female,HR,Houston,26,33760,5
None,,None,20,56541,0
Other,Finance,Phoenix,42,,20
Male,Sales,Houston,56,46244,36
Male,Engineering,Houston,29,67845,1
Female,Sales,None,46,62031,25
Male,Sales,Chicago,,47307,0
Female,Finance,,58,61112,36
Other,Marketing,Los Angeles,63,21409,42
Female,Marketing,Chicago,40,,19
None,HR,Houston,40,36635,16
Other,,Phoenix,35,32096,
Male,None,None,28,,7
,None,,53,64300,33
,Finance,Phoenix,43,44048,19
Other,Finance,Houston,25,61281,4
Male,Engineering,New York,45,60946,20
Female,Engineering,New York,35,20924,13
Other,,New York,30,57976,4
Female,HR,Chicago,53,,27
,Engineering,New York,59,66033,
Male,,None,57,46020,31
Male,Sales,Chicago,61,48865,40
,Finance,New York,29,49846,3
Male,Marketing,Phoenix,39,46591,10
Female,Finance,Houston,19,32303,0
Female,None,Houston,57,35718,35
,Sales,Los Angeles,45,57109,22
Male,None,Houston,30,45754,10
Male,None,Phoenix,50,,
Female,Marketing,,20,64419,
,Engineering,Los Angeles,51,49180,23
Male,None,Houston,40,30902,16
Male,None,,49,81140,28
Other,Finance,,37,,12
Male,Finance,Houston,45,,20
None,,Chicago,25,52326,
Other,HR,,20,45935,
Male,Sales,New York,47,47123,25
Other,Sales,New York,42,39519,17
Male,Finance,Chicago,47,,20
,Engineering,None,46,64817,27
Female,Finance,Phoenix,64,75344,
,None,Houston,47,77556,29
Female,Marketing,New York,51,18424,28
Other,None,Los Angeles,42,57221,20
Male,Engineering,Chicago,34,30315,16
None,Finance,None,41,67379,13
Male,None,Phoenix,55,52921,30
Female,Finance,Houston,45,37129,20
Female,Engineering,Phoenix,50,31037,28
Male,Sales,Los Angeles,53,38259,25
Female,HR,Houston,,36009,4
Male,Marketing,,40,,15
Male,Marketing,New York,63,49150,43
Male,Finance,New York,43,33148,22
Male,HR,Chicago,31,54446,3
Male,Engineering,New York,,54177,35
Male,Marketing,New York,45,46174,
Male,HR,Los Angeles,41,66899,20
None,Finance,New York,24,,
Male,Sales,New York,53,55865,30
,Finance,Los Angeles,56,20862,31
Female,Finance,New York,32,43495,8
Female,HR,New York,20,,0
Female,Marketing,None,19,54253,0
Male,None,New York,24,49985,5
Other,Sales,New York,33,59086,5
Other,HR,Chicago,38,55528,19
,,None,26,60855,1
Other,Finance,New York,29,54688,4
Female,Marketing,None,46,,17
Male,Sales,Los Angeles,41,,
Other,Finance,None,50,48743,32
,,New York,31,49533,10
,,Chicago,60,51162,42
Male,HR,Los Angeles,35,31335,8
Other,Finance,Chicago,22,26827,
Male,Sales,Phoenix,32,57555,
Male,Marketing,Chicago,24,58359,0
None,,Houston,42,49615,20
Male,,Chicago,31,55333,13
Male,,Los Angeles,57,,30
Male,,Chicago,53,56534,24
Other,HR,Chicago,,58407,29
Other,Marketing,,61,30558,40
None,None,Houston,41,74687,14
Male,Marketing,New York,32,54850,4
Other,,None,28,64034,0
Other,Marketing,New York,41,58768,19
Male,Sales,Houston,28,34537,2
None,Sales,Chicago,61,39704,42
Male,Marketing,Houston,34,42126,
None,HR,Phoenix,23,67233,3
,,Chicago,38,35562,10
Female,Marketing,New York,25,31205,0
Other,Engineering,Chicago,32,56438,12
,Marketing,None,49,,22
Other,Sales,Houston,,37375,5
Other,Finance,None,45,71503,22
,Engineering,Los Angeles,32,61195,9
Other,Finance,Los Angeles,29,43676,6
Other,Finance,Houston,60,30160,42
Female,,Los Angeles,35,44940,
Male,Marketing,Phoenix,54,,36
,Marketing,,61,,
Female,Marketing,Los Angeles,,49498,14
Female,HR,New York,54,57219,31
Female,Marketing,None,46,57315,26
None,Engineering,Houston,27,40401,7
Other,,Chicago,31,51083,8
Male,Marketing,Los Angeles,33,65018,
Other,HR,None,54,48860,25
Male,Engineering,Phoenix,28,46013,6
Male,Marketing,Houston,43,60354,16
Female,None,Phoenix,57,,37
Other,Engineering,Phoenix,36,16948,14
Female,Finance,Phoenix,35,54320,15
Other,Finance,Chicago,47,65365,28
,Engineering,Phoenix,49,77026,28
Female,Finance,Los Angeles,40,52944,18
None,None,Los Angeles,29,62363,
Male,Sales,None,30,69771,11
Male,None,New York,38,50471,18
Male,,,38,40381,18
Female,None,Phoenix,46,38837,23
None,HR,Chicago,46,45580,28
None,Finance,Phoenix,44,71740,20
None,Finance,Phoenix,,,21
,Engineering,None,32,46721,8
,Finance,Houston,64,68683,43
,Marketing,Houston,29,56791,5
Other,Sales,Chicago,58,46743,40
Female,None,Chicago,36,52655,11
,Finance,Los Angeles,,56038,2
Male,Marketing,Chicago,40,52051,13
Male,,Los Angeles,22,76115,2
Other,Finance,Phoenix,43,47753,17
Female,Sales,None,27,29263,9
Other,Sales,Chicago,39,54688,16
,Finance,,56,45628,38
Other,Finance,Los Angeles,40,29860,15
None,None,Los Angeles,28,59965,8
Female,Finance,,45,-4114,24
Other,HR,Los Angeles,48,54327,19
Male,Marketing,Los Angeles,,14461,2
Male,Engineering,Houston,56,50077,35
Other,HR,Chicago,45,58302,20
Female,None,Los Angeles,33,60981,7
Female,,Chicago,63,62127,41
Male,Sales,Chicago,64,34180,46
Female,Marketing,Houston,48,52846,23
Female,HR,Chicago,58,39484,39
Female,Finance,Los Angeles,,38618,10
Male,None,Chicago,22,48347,0
Other,Engineering,New York,52,43686,24
Female,Marketing,None,42,34456,18
Male,,,30,54828,1
Male,Marketing,Los Angeles,46,58227,20
Other,Marketing,Houston,44,37082,26
None,Sales,New York,57,47234,30
Female,Sales,Los Angeles,34,47491,5
Other,None,Chicago,54,47733,29
Other,Marketing,,55,49149,27
Male,None,Phoenix,46,54328,24
Male,Finance,Los Angeles,51,67517,28
Other,,Chicago,47,51952,22
Female,,,48,42349,23
Male,,,39,49819,10
Male,Finance,Los Angeles,63,34054,35
,Engineering,Houston,42,36542,18
Male,,Los Angeles,21,56486,0
Female,,New York,52,3053,23
None,Engineering,New York,58,46748,29
Female,Engineering,None,61,63920,43
Other,Sales,,26,56059,1
Other,Marketing,Phoenix,,62908,23
Other,Engineering,Phoenix,,55038,22
Female,Marketing,Los Angeles,44,79881,23
Female,Sales,Houston,35,31536,8
Other,Marketing,Phoenix,47,,27
Male,Sales,Los Angeles,62,,35
Female,,Houston,,43671,41
Male,Finance,New York,48,67680,28
Male,Marketing,Los Angeles,59,,33
Female,HR,Houston,20,27622,0
,Finance,Chicago,46,55431,20
Male,Sales,Chicago,24,59122,1
,HR,Phoenix,35,74489,15
,,None,33,47308,11
Other,Engineering,None,49,58384,21
Female,Finance,Phoenix,55,53864,30
Other,HR,Los Angeles,42,41566,16
Other,Marketing,Los Angeles,61,44762,41
Other,HR,Houston,49,17107,27
,Finance,Houston,36,42908,17
Male,Marketing,Houston,,73567,1
None,Marketing,Houston,52,47412,33
Other,Engineering,Chicago,46,,17
None,None,Chicago,28,53417,5
,Marketing,Phoenix,23,56366,3
Male,None,Chicago,,79915,9
Other,Engineering,Los Angeles,54,43872,32
Other,Marketing,Phoenix,62,43768,37
,HR,None,44,66309,22
,Engineering,Houston,22,48792,3
Other,None,,43,,20
Male,HR,New York,52,64306,
Female,HR,None,36,53878,11
None,Engineering,Chicago,34,47731,15
,Marketing,Chicago,52,44874,28
Male,Sales,,,37353,
Male,Marketing,Houston,30,26779,9
Other,Engineering,Houston,31,66672,6
Female,Sales,Los Angeles,47,43636,26
Female,None,,60,24445,35
None,Sales,New York,34,76749,8
Male,Finance,,54,51300,29
Other,Engineering,Houston,32,50335,11
Male,,Los Angeles,35,26189,13
Other,Sales,,31,58716,8
Female,Finance,None,31,,5
Female,Finance,Los Angeles,62,42067,40
Other,Engineering,New York,50,56207,31
,HR,Phoenix,55,51811,31
Female,Finance,New York,28,35418,5
Male,Finance,Chicago,28,28635,0
,Sales,Houston,43,,
Other,Sales,None,,51178,0
None,Sales,Phoenix,42,89090,17
,Marketing,New York,34,16281,14
Female,Finance,Houston,39,52208,12
Male,Sales,,46,25654,
Male,Engineering,Los Angeles,63,43778,42
Male,Marketing,Houston,43,43585,17
Female,HR,None,51,58130,
Female,Finance,Chicago,43,58549,24
Female,Finance,Los Angeles,26,70471,0
Female,,New York,57,53698,30
Female,None,None,28,64778,3
Male,HR,Houston,24,70635,3
None,Marketing,Houston,47,53870,
Female,Finance,Los Angeles,19,67617,
Male,Sales,,47,53195,24
Female,Engineering,Los Angeles,21,49895,0
Male,Engineering,New York,31,40335,12
None,None,Los Angeles,30,55730,4
Other,,Houston,42,55143,19
Other,Sales,Chicago,30,55343,8
None,Sales,New York,30,67102,11
,Marketing,Chicago,,63606,
Female,Finance,New York,61,27882,43
,Sales,New York,23,28167,0
Male,None,Houston,43,51851,22
Female,,Los Angeles,31,35356,3
,Finance,None,25,48562,1
,Sales,Houston,41,36330,19
Female,HR,Houston,39,,
Female,Marketing,None,57,34719,35
Other,Sales,New York,56,56027,27
Female,,Phoenix,38,33952,17
None,HR,Los Angeles,,52037,42
None,,Houston,43,24697,16
Male,None,New York,27,33044,8
Female,,None,30,60587,4
None,Finance,Phoenix,59,69230,30
None,HR,Phoenix,31,,13
,,Houston,26,61367,0
Female,None,Phoenix,24,72223,3
Female,Finance,,56,64483,31
,Engineering,Los Angeles,48,27037,26
Male,,Los Angeles,33,64299,6
Male,Finance,Houston,25,64062,1
Other,Marketing,None,32,21904,4
Other,Sales,None,42,39900,23
Male,,Chicago,64,,43
Female,Finance,Phoenix,55,,34
Other,Finance,,58,,40
Male,,None,32,62953,3
Female,Sales,Chicago,42,45866,17
Other,HR,Chicago,24,44205,0
Female,Marketing,Phoenix,43,63105,23
Female,HR,Los Angeles,25,56056,0
Female,Marketing,,35,48228,
Female,Marketing,Los Angeles,38,54964,17
,Finance,None,33,47376,14
Other,Engineering,Chicago,64,63708,35
Other,Finance,Phoenix,20,28741,0
Male,Sales,Houston,,47112,0
Other,Marketing,Chicago,30,43797,1
None,Engineering,Phoenix,49,54584,27
None,,New York,29,33099,
Female,,None,48,72497,23
Male,,New York,,38873,40
Female,Engineering,,,65881,0
Female,Engineering,Los Angeles,,59077,40
Female,,New York,25,53221,2
Male,Engineering,Houston,42,53696,21
Other,Engineering,,22,22150,
Other,Finance,Houston,62,42437,
Male,HR,,19,98763,0
Female,Sales,Los Angeles,59,53196,33
Other,HR,None,55,56161,33
None,Engineering,New York,56,21227,32
Other,Marketing,None,20,,0
Male,Sales,New York,63,44649,42
Female,Sales,,55,38891,34
None,,Phoenix,39,58617,17
Male,Sales,None,57,43595,32
,Marketing,New York,50,39129,29
Other,Sales,New York,49,27945,25
Other,HR,None,64,33412,38
Other,Sales,Los Angeles,34,,11
Male,Finance,Chicago,35,44863,14
Female,Marketing,None,20,42577,0
Male,,Houston,23,,
Male,Marketing,Chicago,30,24743,9
Male,Finance,New York,48,34915,27
Female,None,,34,51917,10
Other,,Houston,38,71886,15
Other,Finance,Phoenix,33,74009,15
Other,Finance,,34,79996,8
Female,None,Chicago,49,53949,27
Other,Marketing,Houston,18,49167,
Female,Finance,New York,55,59512,27
Other,,New York,25,44627,6
Other,HR,Chicago,18,,0
Male,Sales,Phoenix,19,,0
Female,,Phoenix,,54152,41
Male,Engineering,Houston,54,39062,29
Male,HR,Houston,41,64468,19
None,Finance,Phoenix,44,35224,23
Female,None,Houston,37,40458,10
,HR,Phoenix,64,,44
None,None,Chicago,38,37452,19
Male,Engineering,Houston,59,58496,33
,,Phoenix,54,51948,36
Male,Sales,None,52,35358,25
Female,HR,New York,55,42179,36
Female,Sales,New York,32,52101,9
Female,None,Los Angeles,63,53123,40
Male,HR,Phoenix,59,35676,
Female,Marketing,Los Angeles,47,50245,29
,Finance,,21,59348,0
Other,Finance,None,60,45450,32
Male,Finance,Phoenix,56,34614,35
None,Marketing,New York,,69983,8
,Marketing,Houston,40,59430,13
Other,Marketing,New York,58,43769,32
Female,,Houston,,51430,13
Other,Marketing,Phoenix,43,44667,19
None,Finance,Phoenix,29,35154,11
Female,Engineering,New York,35,60243,15
None,Marketing,Chicago,23,74989,2
,Engineering,Phoenix,35,63586,15
Male,Finance,Chicago,41,53689,16
Male,Marketing,Houston,,45248,
,Sales,Chicago,45,10070,16
Male,Sales,New York,32,73545,3
Female,Engineering,Los Angeles,36,40003,12
Male,Sales,Los Angeles,22,62502,2
Female,Sales,New York,21,64120,0
Female,Sales,Los Angeles,34,63696,15
Female,Finance,New York,27,29016,0
None,Sales,Phoenix,29,64744,1
Other,None,Chicago,22,42875,0
Female,Marketing,None,24,48658,4
Other,Sales,None,61,48204,
Male,Sales,Los Angeles,40,40759,
Male,Sales,Houston,19,45522,0
Female,HR,,47,52112,18
Male,,New York,62,35896,36
Female,Sales,Phoenix,,,29
Female,None,Houston,22,63405,0
Male,HR,Chicago,37,54333,
Other,HR,Houston,43,,
Male,Sales,Houston,,56095,41
Male,HR,Chicago,61,47272,38
,Engineering,None,56,30467,30
Female,HR,Houston,23,41817,1
Female,HR,,46,55538,17
None,HR,None,27,35111,3
Other,Finance,Houston,33,34739,9
Other,Finance,None,51,41499,27
Other,Finance,Chicago,48,35831,22
Female,HR,Chicago,53,33466,
Female,Engineering,None,58,33210,33
Female,,Chicago,22,56494,
Other,Sales,New York,50,36395,22
Female,Engineering,Chicago,60,66231,42
Male,Finance,,36,82349,7
,Marketing,Phoenix,49,47557,22
Female,Engineering,,40,80256,17
Male,Finance,Los Angeles,20,,1
Male,Engineering,Chicago,18,52432,0
,,Chicago,53,49068,35
Female,HR,None,58,20668,34
Female,Sales,Phoenix,45,,27
None,Marketing,Houston,56,,27
Male,Finance,New York,22,63128,0
Male,Engineering,None,30,75697,5
Female,Marketing,None,28,53218,0
Male,Engineering,Chicago,,53778,41
Other,,Houston,39,64437,17
Other,Marketing,,40,51777,20
Female,Finance,Chicago,29,68045,10
,Engineering,Houston,38,85473,
Other,Sales,,36,71663,
Female,,None,22,40659,0
Other,Engineering,New York,41,,12
Other,Engineering,,47,39982,26
None,Finance,,,46686,2
None,Sales,None,19,,0
Female,HR,New York,51,35044,32
Female,Engineering,Los Angeles,40,44054,13
Female,Marketing,,20,67136,0
,Finance,Phoenix,41,37144,20
Male,Finance,Phoenix,35,21239,12
None,Engineering,Chicago,64,27626,45
Male,Engineering,Chicago,,40868,30
Female,None,Houston,48,49416,20
Male,HR,Houston,31,45447,6
Other,Engineering,,18,42321,0
Other,Sales,Phoenix,31,51153,
None,Marketing,,58,42546,39
Male,Engineering,New York,22,39555,0
Male,HR,Phoenix,48,53447,23
Other,,,48,51726,
Other,Finance,None,47,65238,29
Male,Engineering,Chicago,53,80285,
Male,Marketing,,18,18366,
Male,Finance,Chicago,20,57788,0
Male,None,Phoenix,,,9
Male,Sales,,60,69173,
Male,Engineering,None,60,42390,37
Female,Sales,New York,38,44344,11
Male,HR,Los Angeles,47,30629,26
Other,Marketing,Phoenix,59,65377,39
,Marketing,Houston,61,,
Male,HR,,47,66895,26
Other,,,22,43538,2
Female,Engineering,Los Angeles,27,39922,1
Other,Finance,New York,41,60908,20
Male,,Los Angeles,,44921,44
,,Los Angeles,56,,35
Male,Marketing,None,23,57663,5
,Marketing,Chicago,27,51603,0
Female,,Phoenix,59,40886,32
Female,HR,Chicago,60,55366,40
Other,,Los Angeles,27,38617,6
Male,,New York,42,51466,21
Other,Marketing,Chicago,,75242,5
Female,Marketing,Phoenix,64,68601,41
Male,Sales,Phoenix,56,42375,36
None,Marketing,Los Angeles,,54089,6
Female,Marketing,Chicago,28,41952,0
Female,None,Chicago,56,54226,35
Female,HR,Phoenix,28,36250,4
,None,Chicago,63,40163,44
Female,Finance,None,,78106,9
Male,Engineering,New York,50,51990,25
Female,Marketing,Los Angeles,58,43261,29
Male,Engineering,Chicago,58,18086,34
,Marketing,Los Angeles,49,52514,26
Female,,Houston,27,82787,6
Female,Finance,,32,41444,6
Male,Finance,Chicago,33,44234,15
Female,Sales,Chicago,60,50717,38
Female,HR,New York,44,,16
Female,Finance,Los Angeles,62,,44
Other,None,New York,49,64707,21
Male,None,Chicago,23,60440,0
Other,HR,,64,,36
Female,Engineering,Phoenix,,75583,
Other,Engineering,New York,25,51178,2
Female,Sales,Chicago,42,45812,19
Other,Marketing,,24,45662,0
Female,Sales,Phoenix,34,41869,10
Other,Marketing,Los Angeles,47,46714,20
Other,Sales,Phoenix,19,,
Other,Marketing,Los Angeles,,33107,
None,Finance,Houston,21,13698,2
Other,Engineering,Los Angeles,43,65684,22
Male,Marketing,None,31,10084,5
Female,Finance,Los Angeles,25,55323,6
Other,HR,Los Angeles,22,64532,0
Female,,Phoenix,22,56600,1
Female,,Houston,22,,0
Other,Finance,Los Angeles,44,53248,16
Male,HR,New York,22,43476,0
Other,HR,Phoenix,20,48609,2
Female,,None,55,45278,27
Female,Engineering,Houston,47,39693,22
Other,Marketing,Chicago,18,67839,
None,Sales,New York,25,63068,
Male,,None,30,47751,6
Female,Sales,Phoenix,37,50714,14
Female,Marketing,New York,23,38800,0
Male,HR,Houston,25,55406,3
Other,Engineering,None,47,48440,27
Female,HR,New York,,45048,34
Male,None,None,32,53848,5
Female,Finance,,,,1
Other,Sales,Houston,50,37303,27
None,None,Chicago,26,63493,0
Female,,Chicago,50,,31
Other,,None,26,,
Female,Finance,Los Angeles,,97891,13
Other,None,,49,35827,28
Other,None,Los Angeles,54,59236,32
Male,Finance,Chicago,23,58439,0
Other,,Houston,22,60804,0
Female,HR,Houston,21,75638,0
None,Engineering,Houston,33,45891,4
Other,Engineering,New York,27,50636,9
Male,Marketing,,48,56370,25
None,HR,Phoenix,48,24743,30
Other,Engineering,Chicago,31,,6
,Finance,None,30,56011,1
Male,,Chicago,21,39372,3
Male,Engineering,Los Angeles,63,82747,42
None,Engineering,Phoenix,43,53926,23
Other,Marketing,None,41,38944,22
Male,Engineering,Phoenix,26,41422,
Other,,Chicago,,38138,29
Other,Marketing,New York,59,38646,30
Female,HR,None,32,55066,11
Female,Sales,Chicago,41,56427,21
Female,Marketing,Chicago,48,56762,25
None,Marketing,Phoenix,36,60155,13
Female,Engineering,Houston,19,56340,0
Other,,Chicago,19,82653,0
Other,,None,58,,30
,Engineering,,53,34486,26
Other,Finance,Los Angeles,54,50515,28
Other,Engineering,New York,51,33074,28
Female,Engineering,Phoenix,56,50329,34
Other,,New York,36,28894,8
Female,Sales,Los Angeles,55,46494,31
None,Finance,Chicago,40,48382,22
Male,Marketing,None,33,,9
Other,,Chicago,63,50235,45
Male,HR,Phoenix,61,44400,35
Other,Marketing,Houston,23,33591,0
None,Engineering,Chicago,43,,19
,Marketing,New York,39,44787,15
Female,Sales,Los Angeles,62,66886,44
Female,None,Los Angeles,64,53078,45
Female,Finance,Los Angeles,41,44138,14
Other,,,63,35491,43
,Engineering,Phoenix,57,32396,32
Other,Sales,Chicago,38,52807,12
Female,Engineering,New York,47,55467,19
Other,HR,Los Angeles,28,37400,3
Male,Sales,None,,31874,0
Other,Finance,Los Angeles,29,60488,6
,HR,New York,43,,24
Other,None,Houston,55,37597,36
,None,Houston,,,0
Male,Sales,Houston,50,57752,23
Female,None,Los Angeles,32,33468,8
Male,HR,Chicago,64,36848,38
Female,Sales,Los Angeles,22,62271,0
,Marketing,None,,36634,23
,Marketing,Chicago,28,51033,2
Other,Finance,New York,50,51474,26
Other,,Houston,40,32039,20
Other,Finance,Chicago,27,64733,
Other,HR,,60,26621,40
Male,Sales,Houston,45,54174,26
Male,Marketing,New York,56,43109,28
Other,None,None,34,,7
Male,HR,Los Angeles,61,46479,42
None,Marketing,Chicago,43,33023,22
Female,Engineering,Houston,42,45509,19
Female,,Phoenix,53,57164,33
Female,Marketing,,29,46359,3
Female,HR,Los Angeles,20,42852,0
,Sales,New York,46,20247,
Other,Sales,New York,,36667,37
Male,Sales,New York,41,38880,
Male,,Houston,36,62573,18
Male,,Houston,30,44180,4
Female,Engineering,Houston,33,57606,14
,Sales,Chicago,57,38343,37
Female,HR,Houston,44,19033,15
Other,Marketing,,23,,1
Male,Marketing,None,59,38438,32
Other,Sales,Los Angeles,27,63995,0
Female,None,Los Angeles,55,46729,34
Other,None,Los Angeles,25,70700,3
Male,None,Los Angeles,35,97749,8
Male,Finance,Houston,49,56650,27
Female,Finance,Phoenix,34,29522,5
Female,Finance,Houston,59,58246,37
,Engineering,None,19,,0
Female,Finance,Houston,,31484,34
Female,Sales,Los Angeles,37,40104,10
Male,HR,New York,27,43393,5
Female,Finance,Phoenix,,55305,0
Female,Finance,None,56,36264,37
Male,HR,Los Angeles,58,34419,30
Male,Sales,,42,32409,24
Other,None,New York,42,21914,
Female,Finance,Houston,41,59424,13
,HR,Los Angeles,23,51240,0
Other,Sales,Houston,47,61841,27
None,Marketing,Houston,27,,0
Female,None,,56,38814,32
Female,HR,Phoenix,48,55138,23
None,HR,Chicago,35,63341,7
Male,,Chicago,60,64771,31
Other,Finance,,50,33264,27
Female,Marketing,,36,64194,13
Male,Engineering,New York,40,72560,12
None,Sales,Phoenix,22,56327,2
Other,Sales,Houston,43,67365,17
Female,Marketing,Houston,46,57851,26
Other,,,41,33178,19
None,None,Houston,23,64012,0
Other,HR,New York,56,55821,38
Male,HR,New York,21,34696,0
,HR,Los Angeles,59,41480,33
,Marketing,Houston,43,56187,
,Finance,Chicago,32,85959,4
Other,,None,30,76996,1
Other,HR,Phoenix,57,20004,39
,Finance,Los Angeles,39,50012,
Female,Sales,Phoenix,30,72329,
Male,None,Chicago,56,43945,34
,Finance,Chicago,34,,
Other,HR,Chicago,53,41919,29
Other,HR,Phoenix,56,62672,36
Other,,Los Angeles,42,55767,22
None,Finance,New York,51,57995,33
None,HR,New York,38,,13
Male,Finance,Chicago,42,76237,23
,HR,Los Angeles,42,45299,
Female,Sales,Los Angeles,39,63198,15
Other,Sales,None,40,18861,
Other,Engineering,Houston,42,49429,15
None,HR,Phoenix,31,42950,3
Other,HR,Houston,31,51548,6
Male,Finance,Phoenix,43,25642,17
Male,Finance,None,57,74527,32
Male,HR,Chicago,47,52502,23
Female,Engineering,Los Angeles,43,83740,16
Female,HR,New York,55,,37
Male,,New York,39,53973,21
Other,HR,Phoenix,56,50240,28
Male,Finance,Chicago,56,59968,31
Other,HR,Phoenix,51,61371,27
Male,Marketing,New York,42,57568,23
Other,Finance,Los Angeles,53,,27
Female,Engineering,Houston,30,67361,3
Other,Marketing,None,46,40508,22
None,,New York,59,38094,33
Female,Finance,Houston,26,56643,0
Other,Marketing,Houston,,52799,14
Other,,New York,48,54176,20
Other,Finance,Chicago,61,25666,41
Other,Marketing,New York,44,63370,17
Other,None,Los Angeles,48,44397,29
Female,Marketing,Houston,27,,4
Female,Sales,,54,53525,27
